,Roadway ID,From Measure,TMC,Route Number,Direction,Community(ies),Segment Begin Location,Segment End Location,Length,Lanes,Speed,AM,AM.1,AM Delay,AM Average,AM 5%,AM.2,AM.3,PM,PM.1,PM Delay,PM Average,PM 5%,PM.2,PM.3
0,,,,,,,,,(miles),,Limit,Average,Congested,per Mile,Travel Time,Travel Time,Speed,Congested,Average,Congested,per Mile,Travel Time,Travel Time,Speed,Congested
1,,,,,,,,,,,(mph),Speed (mph),Speed (mph),(minutes),Index,Index,Index,Minutes,Speed (mph),Speed (mph),(minutes),Index,Index,Index,Minutes
2,1.0,0.0,129P04614,I-290,Eastbound,"MARLBOROUGH, NORTHBOROUGH",Solomon Pond Rd/Exit 25,Solomon Pond Rd/Exit 25,0.539919320961,3.0,65,68.4619422572,24.7215189873,0,1,1.04615384615,1.05326065011,1.9905511811,69.0793902826,0,0,1,1.04615384615,1.0627598505,0
3,1.0,851.2534,129+04615,I-290,Eastbound,MARLBOROUGH,Solomon Pond Rd/Exit 25,I-495/Exit 26,1.50003613834,3.0,65,65.1202051282,24.2184300341,0.0258506309883,1.02886653794,1.19642857143,1.00184930966,7.21230769231,66.9494833525,26.0857142857,0.000675715279177,1.00075454873,1.06349206349,1.02999205158,1.75347041019
4,1.0,3264.1677,129P04615,I-290,Eastbound,MARLBOROUGH,I-495/Exit 26,I-495/Exit 26,0.702041278948,2.0,50,53.8644727158,25.9326683292,0.00279564365412,1.00251607929,1.42105263158,1.07728945432,10.1188097992,53.6619511684,21.0710382514,0.00699955563887,1.00629960007,1.125,1.07323902337,4.60232631248
5,2.0,0.0,129N04615,I-290,Westbound,MARLBOROUGH,I-495/Exit 26,I-495/Exit 26,0.823302949887,2.0,45,51.4886388464,18.8333333333,0.130822857226,1.12646209532,1.20833333333,1.14419197436,0.314616561066,51.808319398,32,0.123632399277,1.1195113193,1.23404255319,1.15129598662,0.125418060201
6,2.0,1314.4907,129-04614,I-290,Westbound,"MARLBOROUGH, NORTHBOROUGH",I-495/Exit 26,Solomon Pond Rd/Exit 25,1.70169480375,3.0,65,67.1619057885,18.358974359,0,1,1.03125,1.03326008905,1.00894685782,67.6205791107,0,0,1,1.03125,1.0403166017,0
7,2.0,4045.6338,129N04614,I-290,Westbound,NORTHBOROUGH,Solomon Pond Rd/Exit 25,Solomon Pond Rd/Exit 25,0.267786911176,3.0,65,68.5131742739,5.49,0.00617876376143,1.00710557833,1.06153846154,1.05404883498,1.0207,68.8916496151,0,0.00136762185994,1.00157276514,1.06153846154,1.05987153254,0
8,3.0,0.0,129P04284,I-495,Northbound,"FOXBOROUGH, MANSFIELD",I-95/Exit 13,I-95/Exit 13,0.567401978262,3.0,65,65.3860523039,0,0.0221045046172,1.02468336349,1.09836065574,1.00593926621,0,65.973277973,28.25,0.0139367421141,1.01556269536,1.11666666667,1.01497350728,0.408815075056
9,3.0,903.7779,129+04285,I-495,Northbound,"FOXBOROUGH, PLAINVILLE",I-95/Exit 13,US-1/Exit 14,2.14955734669,3.0,65,69.4019970045,34,0.00738557992957,1.00861650992,1.06060606061,1.06772303084,0.0239640539191,69.9241686942,0,0.000929553590587,1.00108447919,1.06060606061,1.07575644145,0
