,Roadway ID,From Measure,TMC,Route Number,Direction,Community(ies),Segment Begin Location,Segment End Location,Length,Lanes,Speed,AM,AM.1,AM.2,AM Average,AM.3,AM.4,PM,PM.1,PM.2,PM Average,PM.3,PM.4
0,,,,,,,,,(miles),,Limit,Average,Congested,Delay,Travel Time,Speed,Congested,Average,Congested,Delay,Travel Time,Speed,Congested
1,,,,,,,,,,,(mph),Speed (mph),Speed (mph),(minutes),Index,Index,Minutes,Speed (mph),Speed (mph),(minutes),Index,Index,Minutes
2,103.0,0.0,129+08587,Main St/Lowell St,Northbound,"EVERETT, MALDEN",MA-99/MA-16/Broadway,Cross St,1.12625653757537,2.0,30,21.091424521615874,16.732984293193716,0.1323186291396281,1.0430779569892472,0.7030474840538624,5.414599574769667,19.893254747871644,15.96260162601626,0.3252910199445118,1.1059024920169864,0.6631084915957215,8.055009823182711
3,103.0,1809.1753,129+08588,Main St/Lowell St,Northbound,MALDEN,Cross St,MA-60/Centre St,0.475502712863692,2.0,30,20.34856221445848,16.37142857142857,0,1,0.678285407148616,9.594195108841708,20.42103590721322,16.621875,0,1,0.6807011969071073,6.1010486177311725
4,103.0,2579.2349,129+08589,Main St/Lowell St,Northbound,MALDEN,MA-60/Centre St,Forest St,0.734972841853068,2.0,30,18.455497382198953,16.946583253128008,0.06847675301475364,1.0295035460992907,0.6151832460732984,24.176847004072137,17.855263157894736,17.028955532574972,0.14880185527180734,1.0641120117907148,0.5951754385964912,39.48729582577133
5,103.0,3765.3436,129+08590,Main St/Lowell St,Northbound,"MALDEN, MELROSE",Forest St,Wyoming Ave,1.11632788282318,2.0,30,26.690912969283275,15.333333333333334,0.11732487022132743,1.0490461690922026,0.8896970989761092,0.03839590443686007,26.591605068637804,18,0.12669658024845276,1.0529638932184375,0.8863868356212602,0.06335797254487856
6,103.0,5557.891,129+08591,Main St/Lowell St,Northbound,MELROSE,Wyoming Ave,Lynn Fells Pkwy,0.909831032226608,2.0,30,16.190545720021902,15.923317073170733,0.16054393772794562,1.0499954908238265,0.5396848573340634,56.12338017886476,15.837870105062082,15.806311732112745,0.2356247848566051,1.0733766527461592,0.5279290035020694,59.46991404011462
7,103.0,7020.7731,129+08592,Main St/Lowell St,Northbound,MELROSE,Lynn Fells Pkwy,Franklin St/Green St,0.214365574684083,2.0,30,19.973985134362493,15.927803379416282,0.0008375932371831318,1.0013024374185975,0.6657995044787498,22.332761578044597,20.10796915167095,15.053459119496855,-0.0034530890322417296,1,0.6702656383890316,14.013955196474477
8,103.0,7362.8302,129+08593,Main St/Lowell St,Northbound,"MELROSE, WAKEFIELD",Franklin St/Green St,Greenwood St,1.12538395793486,2.0,30,26.154671347766726,17.333333333333332,0.2533011389766706,1.108788545434207,0.8718223782588909,0.21064950263311877,26.468743096973714,18,0.22266752341322826,1.0956319268260115,0.8822914365657905,0.026507620941020545
9,103.0,9171.2546,129+08594,Main St/Lowell St,Northbound,WAKEFIELD,Greenwood St,Nahant St/North Ave,1.1086413399423,2.0,30,26.539187367610246,16.79591836734694,0.13076489912372447,1.05504360823695,0.8846395789203415,0.5661467359907567,27.328558225508317,15.952380952380953,0.05836814962338677,1.0245692351916669,0.9109519408502772,0.29112754158964876
10,103.0,10951.3761,129+08595,Main St/Lowell St,Northbound,WAKEFIELD,Nahant St/North Ave,MA-129/Water St,0.322303616320309,2.0,20,22.2687432867884,15.06081081081081,0.0626427693135646,1.077743799500294,1.11343716433942,5.722878625134264,20.866091954022988,14.364145658263306,0.12101809704703259,1.1501914231415429,1.0433045977011495,6.155172413793103
11,103.0,11466.5831,129+08596,Main St/Lowell St,Northbound,WAKEFIELD,MA-129/Water St,Lowell St,1.49147181357107,2.0,30,25.09555690809495,17.5,0.12404445660017327,1.0360399689561506,0.836518563603165,0.1704199634814364,25.31951992753623,17,0.09250237797810712,1.026875709903319,0.843983997584541,0.08152173913043478
12,103.0,13902.8679,129+08771,Main St/Lowell St,Northbound,WAKEFIELD,Lowell St,I-95/MA-128,0.191510295902926,2.0,30,23.969997391077484,15.172236503856041,0.0005992708737997399,1.0012516734329595,0.7989999130359161,6.0892251500130445,25.31442869057548,13.726315789473684,0,1,0.8438142896858493,2.3769808173477895
13,104.0,0.0,129-08596,Main St/Lowell St,Southbound,WAKEFIELD,I-95/MA-128,Lowell St,0.175808134473522,2.0,30,26.362583633556355,16.154929577464788,0,1,0.8787527877852118,2.1924858466289243,28.90677321156773,15.736842105263158,0,1,0.9635591070522577,0.4337899543378995
14,104.0,310.2601,129-08770,Main St/Lowell St,Southbound,WAKEFIELD,Lowell St,Main St/W Water St,1.49183966509228,2.0,30,25.74186550976139,17.4,0.034522804703278176,1.0100278082076346,0.858062183658713,0.054229934924078085,25.568866943866944,18,0.05804968827162771,1.0168616410371079,0.8522955647955648,0.10914760914760915
15,104.0,2738.92,129-08594,Main St/Lowell St,Southbound,WAKEFIELD,Main St/W Water St,Nahant St/North Ave,0.32239235425738,2.0,20,20.96295375435107,14.626482213438734,0.04349696454469543,1.0494704256757559,1.0481476877175535,7.5484833416210835,21.863809194607672,15.984,0.0054769056922702175,1.006229052045785,1.0931904597303836,2.5924645696508812
16,104.0,3263.8552,129-08593,Main St/Lowell St,Southbound,WAKEFIELD,Nahant St/North Ave,Greenwood St,1.10864019619633,2.0,30,27.107524863951962,15.75,0.23659218009871807,1.1067037713905963,0.9035841621317321,0.2251829611559392,28.389520514087987,18,0.12578178573644117,1.0567279565399081,0.9463173504695995,0.014829461196243201
17,104.0,5025.6133,129-08592,Main St/Lowell St,Southbound,"MELROSE, WAKEFIELD",Greenwood St,Franklin St/Green St,1.12524116219706,2.0,30,26.067637301879838,17.58823529411765,0.17874166755163579,1.0741288010011099,0.8689212433959946,0.37596756358274974,26.705348615090735,17.727272727272727,0.1168943225027741,1.0484791044509219,0.8901782871696912,0.15759312320916904
18,104.0,6852.4011,129-08591,Main St/Lowell St,Southbound,MELROSE,Franklin St/Green St,Lynn Fells Pkwy,0.214101185956852,2.0,30,21.324800440407376,15.859615384615385,0.018488207944075352,1.0316626437597616,0.7108266813469125,8.587943848059455,22.138079470198676,15.378238341968911,-0.00364197375989761,1,0.7379359823399558,3.834437086092715
19,104.0,7181.105,129-08590,Main St/Lowell St,Southbound,MELROSE,Lynn Fells Pkwy,Wyoming Ave,0.909520641773897,2.0,30,16.296722454672246,15.845916795069337,0.6200401422546844,1.2272406341599094,0.5432240818224082,54.30962343096234,16.506440400736047,16.30600260983036,0.5774954184530703,1.2116482727013735,0.5502146800245349,56.405643017787774
20,104.0,8655.4745,129-08589,Main St/Lowell St,Southbound,"MALDEN, MELROSE",Wyoming Ave,Forest St,1.11315991766768,2.0,30,25.02096153846154,16.566666666666666,0.2840029780182669,1.1190617097971702,0.8340320512820513,2.076923076923077,24.45769473021205,17.333333333333332,0.3454786741497107,1.1448339800157952,0.8152564910070683,0.8314087759815243
21,104.0,10444.0523,129-08588,Main St/Lowell St,Southbound,MALDEN,Forest St,MA-60/Centre St,0.725922629028183,2.0,30,17.00754975978037,16.62648981161092,0.14120044680854882,1.0583535108958837,0.5669183253260124,53.55525051475635,15.636449480642115,15.591021967526265,0.3657596755958572,1.1511564708013766,0.5212149826880705,59.320113314447596
22,104.0,11616.2807,129-08587,Main St/Lowell St,Southbound,MALDEN,MA-60/Centre St,Cross St,0.475410285661395,2.0,30,20.712041884816752,16.335260115606935,0,1,0.6904013961605584,4.940504521656354,20.310659186535766,17.00729927007299,0,1,0.6770219728845255,5.76437587657784
23,104.0,12386.2056,129-08586,Main St/Lowell St,Southbound,"EVERETT, MALDEN",Cross St,MA-99/MA-16/Broadway,1.12690808677322,2.0,30,21.906280958985537,15.917431192660551,0.013148501116464484,1.0042781812754948,0.7302093652995179,3.8874578957796713,22.0888664478667,16.99,0,0.9959768669851646,0.7362955482622233,1.5147689977278465
24,105.0,0.0,129-08461,MA-2A,Eastbound,LEXINGTON,Marrett Rd,MA-225/MA-4/Bedford St,1.74301733415837,2.0,20,29.188932122784262,17,0.09686585060524022,1.027786829398347,1.459446606139213,0.07782101167315175,28.72220927522722,16.625,0.15508635574399943,1.0444878982855568,1.4361104637613609,0.11186203682125379
25,105.0,2810.2239,129-08460,MA-2A,Eastbound,LEXINGTON,MA-225/MA-4/Bedford St,Woburn St/Fletcher Ave,0.390933464550774,2.0,30,21.39226393629124,15.356976744186046,0.07664507758188854,1.0751550218572843,0.7130754645430414,11.74061433447099,21.934395934395933,12.830339321357286,0.04954461442582425,1.0485814183710007,0.7311465311465312,6.943866943866944
26,105.0,3495.0978,129-08459,MA-2A,Eastbound,LEXINGTON,Woburn St/Fletcher Ave,MA-225/MA-4/Pleasant St,1.49384276063128,2.0,35,30.82719067318541,16.6,0.19143875686682188,1.0704835335094152,0.880776876376726,0.056412185031966905,31.374973307708732, ,0.14067577980959323,1.051793723499105,0.896427808791678,
